room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4995033,11206328,Entire home/apt,,Beacon Hill,27,5.0,3,2.0,220.0,2.0,42.359749,-71.066178,2016-05-19 02:47:24.372137
6954861,36453929,Private room,,Brighton,61,5.0,2,1.0,85.0,1.0,42.338819,-71.148039,2016-05-19 02:47:08.663550
12254824,2086352,Entire home/apt,,Allston,0,,2,1.0,150.0,5.0,42.365224,-71.129209,2016-05-19 02:46:56.499881
4489588,12776560,Entire home/apt,,Downtown,16,5.0,2,1.0,249.0,1.0,42.355223,-71.057704,2016-05-19 02:46:24.581614
2441095,3594203,Entire home/apt,,East Boston,66,4.0,4,2.0,129.0,2.0,42.380163,-71.035852,2016-05-19 02:45:37.363988
11760822,50437930,Entire home/apt,,Brighton,4,5.0,4,1.0,140.0,2.0,42.340296,-71.150788,2016-05-19 02:45:06.458468
7573274,30283594,Entire home/apt,,Fenway,2,,5,2.0,571.0,3.0,42.344895,-71.100031,2016-05-19 02:44:01.520539
10742655,16938558,Private room,,Downtown,2,,8,1.0,70.0,1.0,42.359707,-71.055284,2016-05-19 02:43:49.520501
10118379,30283594,Entire home/apt,,West End,0,,3,1.0,169.0,10.0,42.36319,-71.069105,2016-05-19 02:43:16.599649
4934600,25424192,Entire home/apt,,Dorchester,48,5.0,4,1.0,150.0,,42.295366,-71.05958,2016-05-19 02:42:25.385786
12891224,14004174,Private room,,Brighton,0,,2,1.0,55.0,3.0,42.344096,-71.167306,2016-05-19 02:42:09.276700
13062783,44620221,Private room,,Mission Hill,0,,1,1.0,60.0,1.0,42.330521,-71.105698,2016-05-19 02:40:31.834718
12233285,25938928,Entire home/apt,,East Boston,4,4.5,2,1.0,60.0,2.0,42.366928,-71.040173,2016-05-19 02:40:28.834435
8101338,13263766,Shared room,,Allston,1,,1,1.0,50.0,1.0,42.348866,-71.139228,2016-05-19 02:40:17.333372
4402209,8139434,Private room,,Allston,11,5.0,2,1.0,100.0,1.0,42.352081,-71.135991,2016-05-19 02:39:16.721619
5511911,25079218,Entire home/apt,,North End,1,,2,1.0,240.0,2.0,42.365091,-71.055525,2016-05-19 02:39:08.965158
11638661,59082726,Private room,,North End,4,4.5,1,1.0,100.0,1.0,42.364477,-71.052188,2016-05-19 02:39:03.395695
6764572,35411494,Private room,,Jamaica Plain,35,5.0,2,1.0,79.0,,42.318578,-71.106278,2016-05-19 02:39:00.283317
3585343,10332798,Private room,,South Boston,34,4.5,2,1.0,110.0,2.0,42.340395,-71.053735,2016-05-19 02:38:37.366041
1487970,7956873,Entire home/apt,,Back Bay,4,5.0,2,1.0,199.0,2.0,42.346649,-71.08689,2016-05-19 02:38:34.705301
11020786,4776690,Entire home/apt,,South Boston,9,5.0,10,3.0,199.0,,42.338983,-71.037399,2016-05-19 02:21:01.068083
7035556,15589117,Entire home/apt,,East Boston,12,5.0,2,1.0,150.0,2.0,42.363827,-71.029303,2016-05-19 02:20:59.069792
12186553,15589117,Entire home/apt,,East Boston,0,,2,1.0,165.0,2.0,42.365856,-71.031136,2016-05-19 02:20:54.965100
7277653,30172860,Private room,,Allston,40,5.0,2,1.0,70.0,1.0,42.363177,-71.133641,2016-05-19 02:20:22.990630
9364092,24904722,Entire home/apt,,Fenway,4,5.0,2,1.0,158.0,3.0,42.34513,-71.090742,2016-05-19 02:19:56.603974
1136972,1480518,Private room,,Jamaica Plain,244,5.0,2,1.0,60.0,1.0,42.294442,-71.119945,2016-05-19 02:18:48.521148
2513870,12867663,Entire home/apt,,South End,0,,4,1.0,300.0,14.0,42.344826,-71.076875,2016-05-19 02:18:29.318444
1327725,7205617,Entire home/apt,,Brighton,113,4.5,4,2.0,120.0,3.0,42.345668,-71.139219,2016-05-19 02:18:22.805406
9993559,51342173,Entire home/apt,,Jamaica Plain,1,,2,1.0,90.0,1.0,42.321646,-71.115719,2016-05-19 02:18:13.340901
7462268,19548932,Private room,,Allston,20,5.0,2,1.0,20.0,1.0,42.358198,-71.129016,2016-05-19 02:18:03.140493
8048089,42082054,Entire home/apt,,Beacon Hill,2,,2,1.0,135.0,1.0,42.358823,-71.063974,2016-05-19 02:17:33.607124
10153739,30283594,Entire home/apt,,Mission Hill,0,,3,1.0,457.0,3.0,42.333365,-71.099992,2016-05-19 02:17:30.118481
12897590,70637430,Private room,,Allston,0,,1,1.0,69.0,2.0,42.35167,-71.126028,2016-05-19 02:17:26.320719
336946,1713739,Entire home/apt,,Jamaica Plain,53,4.5,3,1.0,125.0,1.0,42.288258,-71.113067,2016-05-19 02:17:09.029331
11653496,6950436,Entire home/apt,,South Boston,2,,6,2.0,268.0,1.0,42.330177,-71.052348,2016-05-19 02:16:01.700889
3693850,18807469,Private room,,Jamaica Plain,151,5.0,2,1.0,69.0,1.0,42.299824,-71.112572,2016-05-19 02:15:49.384636
12563549,34226261,Entire home/apt,,Downtown,0,,3,1.0,400.0,1.0,42.35771,-71.056722,2016-05-19 02:14:57.995298
6730758,207475,Private room,,Jamaica Plain,33,5.0,4,1.0,125.0,2.0,42.31452,-71.105587,2016-05-19 02:14:55.040443
9425902,5717433,Entire home/apt,,North End,2,,2,1.0,140.0,1.0,42.366524,-71.052132,2016-05-19 02:14:35.612602
12890140,54064917,Private room,,Brighton,0,,3,1.0,55.0,3.0,42.342328,-71.16733,2016-05-19 02:14:19.396157
11432300,60063253,Entire home/apt,,Downtown,0,,2,1.0,252.0,3.0,42.357566,-71.056582,2016-05-19 02:14:10.954928
10053369,30283594,Entire home/apt,,South Boston Waterfront,0,,3,1.0,457.0,3.0,42.353034,-71.047768,2016-05-19 02:14:07.905989
7052847,10336060,Private room,,Allston,0,,2,1.0,60.0,18.0,42.352806,-71.123981,2016-05-19 02:13:52.317897
2443944,4442258,Entire home/apt,,Jamaica Plain,0,,5,3.0,500.0,4.0,42.321233,-71.115689,2016-05-19 02:13:45.602733
1178162,1407005,Private room,,East Boston,195,4.5,2,1.0,90.0,1.0,42.377796,-71.034666,2016-05-19 02:13:31.698668
3420384,431385,Private room,,Roslindale,0,,4,1.0,150.0,3.0,42.274408,-71.125294,2016-05-19 02:13:17.307201
12232615,17893434,Private room,,Downtown,0,,2,1.0,250.0,1.0,42.354077,-71.06314,2016-05-19 02:13:12.912050
12308161,66371429,Private room,,South End,7,5.0,2,1.0,119.0,,42.339755,-71.079004,2016-05-19 02:12:45.892768
11256475,54064917,Private room,,Brighton,0,,4,1.0,58.0,2.0,42.342746,-71.167468,2016-05-19 02:11:52.657973
3415434,16442921,Private room,,Dorchester,8,4.0,1,1.0,63.0,4.0,42.320429,-71.052252,2016-05-19 02:11:45.458837
8063870,9419684,Entire home/apt,,Fenway,2,,3,1.0,272.0,3.0,42.345378,-71.100018,2016-05-19 02:11:07.452982
13066225,42820495,Shared room,,Downtown,0,,1,1.0,59.0,,42.355813,-71.062458,2016-05-19 02:11:04.030117
12930634,70983352,Entire home/apt,,Allston,0,,3,1.0,140.0,4.0,42.365258,-71.119686,2016-05-19 02:11:01.457811
2384107,4004495,Entire home/apt,,South Boston Waterfront,15,5.0,3,1.0,375.0,3.0,42.348495,-71.048172,2016-05-19 02:10:38.633398
11986653,25716456,Private room,,South Boston,8,4.0,4,1.0,55.0,1.0,42.323757,-71.051812,2016-05-19 02:10:16.765305
8956082,10795653,Private room,,Allston,3,5.0,1,1.0,75.0,1.0,42.348184,-71.137244,2016-05-19 02:08:56.990189
40601,174986,Private room,,Jamaica Plain,47,5.0,2,1.0,95.0,4.0,42.315099,-71.111079,2016-05-19 02:08:39.232464
1322461,7178644,Entire home/apt,,Back Bay,69,5.0,2,1.0,199.0,2.0,42.34962,-71.07772,2016-05-19 02:07:35.453547
10809,38440,Private room,,Allston,10,3.5,4,1.0,100.0,1.0,42.354788,-71.132088,2016-05-19 02:07:16.368384
1966195,9419684,Entire home/apt,,Downtown,19,5.0,5,2.0,299.0,3.0,42.350898,-71.063213,2016-05-19 02:07:05.906540
2701124,13822322,Entire home/apt,,Fenway,22,4.5,4,1.0,280.0,3.0,42.344791,-71.086584,2016-05-19 02:06:57.008772
5447285,28254412,Private room,,Brighton,0,,2,1.0,44.0,1.0,42.34028,-71.143274,2016-05-19 02:06:42.514122
7900936,41658743,Private room,,Hyde Park,20,5.0,2,1.0,80.0,1.0,42.242005,-71.123778,2016-05-19 02:06:16.292722
7513605,22348222,Entire home/apt,,South End,2,,2,0.0,155.0,7.0,42.345046,-71.075765,2016-05-19 02:05:37.982090
8164953,30283594,Entire home/apt,,Fenway,0,,5,1.0,199.0,3.0,42.344543,-71.099308,2016-05-19 02:05:34.861361
4461901,22348222,Private room,,South End,2,,2,1.0,155.0,7.0,42.344677,-71.077623,2016-05-19 02:05:17.767315
894539,4762495,Private room,,Roslindale,34,5.0,2,1.0,95.0,1.0,42.290904,-71.130238,2016-05-19 02:05:02.479932
8704161,45692962,Entire home/apt,,Beacon Hill,12,5.0,4,2.0,500.0,2.0,42.360473,-71.062929,2016-05-19 02:04:59.200507
5086521,1868179,Entire home/apt,,Fenway,16,5.0,3,0.0,142.0,2.0,42.340861,-71.088289,2016-05-19 02:04:39.121165
6744206,4192732,Private room,,Allston,92,4.5,2,1.0,60.0,1.0,42.360616,-71.130692,2016-05-19 02:04:06.751920
9166002,3169119,Entire home/apt,,Leather District,0,,4,2.0,295.0,1.0,42.351251,-71.05893,2016-05-19 02:04:03.833795
5726250,29688938,Entire home/apt,,Charlestown,13,5.0,6,4.0,475.0,2.0,42.379946,-71.062233,2016-05-19 02:04:00.969819
4287348,22257404,Private room,,South Boston,39,4.5,1,1.0,90.0,1.0,42.330784,-71.046889,2016-05-19 02:03:49.318249
3303860,16442921,Private room,,Dorchester,4,3.0,2,1.0,65.0,3.0,42.313392,-71.056652,2016-05-19 02:03:44.250042
4565470,9419684,Entire home/apt,,Fenway,3,4.5,5,2.0,350.0,3.0,42.344724,-71.100097,2016-05-19 02:03:13.946908
6862758,35962316,Entire home/apt,,Jamaica Plain,9,5.0,5,2.0,200.0,2.0,42.318139,-71.103674,2016-05-19 02:03:06.738113
6489209,26098645,Shared room,,South Boston,14,5.0,2,1.0,75.0,2.0,42.329976,-71.059102,2016-05-19 02:02:43.780901
12990153,71568696,Entire home/apt,,Fenway,0,,3,0.0,158.0,,42.34241,-71.101269,2016-05-19 02:02:32.747564
8193344,43217109,Private room,,South End,14,5.0,2,1.0,100.0,2.0,42.338317,-71.076586,2016-05-19 02:02:25.133604
12074204,64704565,Shared room,,Mission Hill,1,,1,1.0,27.0,2.0,42.330801,-71.099008,2016-05-19 02:02:05.219212
12433184,64969164,Entire home/apt,,South Boston,1,,4,1.0,189.0,1.0,42.341221,-71.052787,2016-05-19 02:01:58.130853
12233830,6933825,Entire home/apt,,Allston,5,5.0,6,3.0,140.0,,42.3565,-71.136783,2016-05-19 02:01:52.891674
1757417,9241244,Private room,,West Roxbury,4,5.0,2,1.0,50.0,1.0,42.277537,-71.143478,2016-05-19 02:01:13.552731
12797493,33597924,Shared room,,Back Bay,6,5.0,1,1.0,41.0,1.0,42.35081,-71.082225,2016-05-19 02:00:14.883127
533114,71783,Entire home/apt,,Dorchester,5,4.5,6,2.0,136.0,,42.311671,-71.061682,2016-05-19 02:00:02.610237
12604505,19094700,Entire home/apt,,Brighton,0,,4,1.0,200.0,1.0,42.342451,-71.155167,2016-05-19 01:59:31.920430
12253499,65973859,Entire home/apt,,Allston,2,,1,0.0,85.0,1.0,42.349814,-71.132085,2016-05-19 01:59:14.026190
4075898,20857768,Entire home/apt,,Downtown,36,4.5,2,1.0,289.0,4.0,42.354481,-71.061308,2016-05-19 01:57:53.607650
10118946,30283594,Entire home/apt,,West End,0,,5,2.0,199.0,10.0,42.364862,-71.067154,2016-05-19 01:57:44.658235
8515356,26956083,Private room,,Brighton,3,5.0,2,1.0,50.0,2.0,42.358659,-71.141334,2016-05-19 01:57:33.634770
8131638,42238927,Entire home/apt,,Beacon Hill,4,5.0,2,0.0,120.0,1.0,42.35893,-71.063392,2016-05-19 01:56:43.964620
12000174,1007365,Entire home/apt,,Mission Hill,5,5.0,2,0.0,99.0,1.0,42.328477,-71.109574,2016-05-19 01:56:30.495098
6121709,19044311,Private room,,Back Bay,18,4.5,2,1.0,120.0,2.0,42.347962,-71.084098,2016-05-19 01:56:06.587231
12871837,60115031,Shared room,,Fenway,0,,1,1.0,100.0,2.0,42.3448,-71.101093,2016-05-19 01:55:47.507177
10185646,1997048,Entire home/apt,,Dorchester,0,,4,3.0,179.0,3.0,42.301462,-71.080998,2016-05-19 01:55:38.988466
10862342,5635152,Entire home/apt,,North End,1,,2,1.0,160.0,1.0,42.366288,-71.05493,2016-05-19 01:55:16.218935
10136854,30283594,Entire home/apt,,Chinatown,0,,3,1.0,349.0,3.0,42.350642,-71.06291,2016-05-19 01:54:51.266651
1885386,6391436,Private room,,Jamaica Plain,103,5.0,2,1.0,65.0,3.0,42.308852,-71.116432,2016-05-19 01:54:15.931500
7036112,24545104,Entire home/apt,,North End,1,,3,1.0,180.0,1.0,42.36313,-71.053159,2016-05-19 01:53:27.106048
2848330,3011415,Entire home/apt,,Chinatown,27,4.5,5,2.0,265.0,3.0,42.348676,-71.061243,2016-05-19 01:53:07.377163
210097,1035747,Entire home/apt,,Jamaica Plain,99,5.0,2,1.0,95.0,2.0,42.318635,-71.106406,2016-05-19 01:53:00.557235
4902542,1186415,Private room,,Back Bay,24,5.0,2,1.0,140.0,1.0,42.346727,-71.079142,2016-05-19 01:52:56.336572
12269155,66084480,Entire home/apt,,Downtown,9,5.0,2,1.0,175.0,1.0,42.364057,-71.058543,2016-05-19 01:52:43.576490
4428586,17618315,Private room,,Brighton,126,5.0,3,1.0,70.0,1.0,42.340003,-71.150269,2016-05-19 01:52:30.676343
6626933,4718853,Private room,,Dorchester,35,4.5,2,1.0,75.0,2.0,42.319179,-71.059928,2016-05-19 01:51:59.104581
12871137,70390911,Shared room,,Allston,0,,1,1.0,35.0,1.0,42.349352,-71.136227,2016-05-19 01:51:38.844374
830153,206353,Entire home/apt,,Jamaica Plain,9,4.5,6,2.0,150.0,3.0,42.303629,-71.115589,2016-05-19 01:51:27.772084
12446656,12790789,Shared room,,Fenway,3,4.5,2,1.0,90.0,1.0,42.344627,-71.094908,2016-05-19 01:51:13.181366
12208307,34122490,Private room,,South Boston,0,,1,1.0,53.0,1.0,42.334778,-71.048581,2016-05-19 01:50:53.744160
8649257,3594203,Entire home/apt,,South Boston,21,4.5,4,2.0,99.0,2.0,42.330248,-71.054912,2016-05-19 01:50:30.743042
7554801,14840087,Private room,,Jamaica Plain,2,,2,1.0,65.0,5.0,42.322355,-71.10673,2016-05-19 01:50:23.554189
5652147,352441,Entire home/apt,,Jamaica Plain,3,4.5,7,3.0,300.0,2.0,42.307049,-71.116624,2016-05-19 01:50:16.152426
10356880,41565478,Private room,,East Boston,10,5.0,2,1.0,70.0,1.0,42.364229,-71.029348,2016-05-19 01:49:11.647885
70481,26988,Entire home/apt,,Downtown,4,4.5,2,1.0,175.0,5.0,42.357382,-71.061617,2016-05-19 01:49:07.523661
5940866,12720679,Private room,,East Boston,98,5.0,2,1.0,75.0,2.0,42.37728,-71.034257,2016-05-19 01:48:29.973109
9169272,47719377,Entire home/apt,,Beacon Hill,1,,2,1.0,130.0,1.0,42.359641,-71.065521,2016-05-19 01:47:10.686521
11924459,46702413,Private room,,North End,8,4.5,2,1.0,110.0,2.0,42.36666,-71.053156,2016-05-19 01:46:49.962299
12227302,17198627,Private room,,Allston,1,,2,1.0,53.0,1.0,42.350492,-71.127134,2016-05-19 01:46:47.121309
5872926,30489899,Private room,,Allston,6,4.0,1,1.0,52.0,1.0,42.354993,-71.136808,2016-05-19 01:43:46.876694
257588,1355344,Entire home/apt,,South Boston,101,5.0,6,2.0,200.0,1.0,42.330664,-71.039842,2016-05-19 01:43:34.938198
8644473,2346094,Private room,,Allston,2,,3,1.0,60.0,1.0,42.354429,-71.129278,2016-05-19 01:43:26.625355
8384444,14587487,Private room,,Beacon Hill,10,5.0,2,1.0,130.0,1.0,42.357892,-71.069628,2016-05-19 01:43:23.412617
13002808,67536196,Private room,,Allston,0,,2,1.0,54.0,2.0,42.349409,-71.131552,2016-05-19 01:42:00.330718
6629066,9410008,Entire home/apt,,South Boston,9,5.0,8,4.0,500.0,3.0,42.335802,-71.044083,2016-05-19 01:41:44.658737
8735827,45824409,Private room,,Roxbury,21,4.5,2,1.0,86.0,2.0,42.329454,-71.09309,2016-05-19 01:41:39.933287
8751275,5235073,Private room,,Allston,39,4.5,2,1.0,63.0,1.0,42.351792,-71.126901,2016-05-19 01:40:33.399763
5959740,27858335,Private room,,Brighton,1,,2,1.0,75.0,5.0,42.342217,-71.146811,2016-05-19 01:40:28.866448
11440702,389733,Entire home/apt,,Downtown,0,,4,1.0,200.0,1.0,42.364999,-71.059704,2016-05-19 01:40:02.863007
1821633,7799789,Private room,,Dorchester,99,5.0,2,1.0,100.0,1.0,42.309577,-71.047923,2016-05-19 01:39:33.263838
2560413,9770603,Entire home/apt,,Fenway,21,4.5,2,0.0,135.0,3.0,42.340838,-71.096519,2016-05-19 01:39:29.227318
4744278,24380118,Entire home/apt,,North End,13,5.0,4,1.0,400.0,3.0,42.364399,-71.056311,2016-05-19 01:39:25.803412
12428994,30283594,Entire home/apt,,Chinatown,0,,5,2.0,571.0,3.0,42.350801,-71.061691,2016-05-19 01:38:49.115617
10116726,30283594,Entire home/apt,,Downtown,1,,3,1.0,169.0,3.0,42.352599,-71.061702,2016-05-19 01:38:07.055677
2360109,9967305,Entire home/apt,,Fenway,38,4.5,3,0.0,100.0,2.0,42.342745,-71.096658,2016-05-19 01:38:04.494512
7880828,41542719,Private room,,East Boston,39,5.0,1,1.0,75.0,1.0,42.377833,-71.030262,2016-05-19 01:37:53.276320
9685102,815156,Private room,,Brighton,21,5.0,2,1.0,65.0,1.0,42.335887,-71.148954,2016-05-19 01:37:45.272144
1147871,1407005,Private room,,East Boston,197,4.5,2,1.0,95.0,1.0,42.377612,-71.035198,2016-05-19 01:37:31.979227
5241043,24461269,Private room,,West End,33,4.5,3,1.0,80.0,4.0,42.361192,-71.067974,2016-05-19 01:36:27.706938
12262803,30708464,Private room,,Allston,1,,2,1.0,125.0,3.0,42.363208,-71.134417,2016-05-19 01:35:49.089748
9770477,17194624,Entire home/apt,,Fenway,4,4.5,2,0.0,99.0,2.0,42.350479,-71.093757,2016-05-19 01:35:21.130393
12917537,70846120,Entire home/apt,,Brighton,0,,4,2.0,91.0,1.0,42.358844,-71.144193,2016-05-19 01:34:59.283979
3897979,8139434,Private room,,Allston,17,5.0,3,1.0,59.0,1.0,42.351786,-71.136677,2016-05-19 01:34:48.853320
12957317,71229368,Private room,,Dorchester,2,,2,1.0,60.0,1.0,42.318194,-71.040408,2016-05-19 01:34:45.484831
6823828,35742537,Entire home/apt,,Beacon Hill,58,4.5,4,1.0,200.0,,42.356864,-71.062685,2016-05-19 01:33:07.329712
12339410,6311939,Private room,,Brighton,2,,2,1.0,100.0,1.0,42.361327,-71.145678,2016-05-19 01:32:52.528122
6031151,31302964,Entire home/apt,,South Boston,21,4.5,2,1.0,189.0,3.0,42.339461,-71.04805,2016-05-19 01:32:47.792722
9237653,20684898,Private room,,South Boston,15,5.0,2,1.0,110.0,2.0,42.332484,-71.049417,2016-05-19 01:32:44.314221
4765070,24584716,Entire home/apt,,Jamaica Plain,109,4.5,2,0.0,90.0,1.0,42.325089,-71.10723,2016-05-19 01:32:13.546121
4967219,23953876,Private room,,Dorchester,113,4.0,2,1.0,69.0,1.0,42.311181,-71.052025,2016-05-19 01:31:24.552695
4549374,18286028,Entire home/apt,,South End,52,5.0,3,1.0,199.0,2.0,42.336278,-71.074311,2016-05-19 01:31:18.500307
472070,814298,Entire home/apt,,Back Bay,2,,4,2.0,150.0,2.0,42.351471,-71.083204,2016-05-19 01:31:08.015076
7611271,953185,Entire home/apt,,South Boston,7,5.0,8,4.0,391.0,2.0,42.331816,-71.033987,2016-05-19 01:30:29.722284
72811,378555,Private room,,Allston,118,4.5,2,1.0,62.0,2.0,42.356861,-71.130578,2016-05-19 01:30:21.292568
11639480,61701374,Private room,,Roxbury,0,,1,1.0,49.0,1.0,42.309563,-71.087091,2016-05-19 01:29:57.934473
6778788,35486394,Entire home/apt,,Beacon Hill,26,5.0,2,1.0,150.0,2.0,42.358706,-71.067347,2016-05-19 01:29:12.108595
6300089,29483150,Entire home/apt,,West Roxbury,13,4.5,6,3.0,245.0,2.0,42.286412,-71.153716,2016-05-19 01:29:09.539014
9460898,1444340,Entire home/apt,,South Boston,1,,4,1.0,138.0,2.0,42.342252,-71.057115,2016-05-19 01:28:45.055963
11474006,29112750,Private room,,South Boston,5,5.0,2,1.0,99.0,1.0,42.334647,-71.05176,2016-05-19 01:27:54.742906
11223924,9410008,Entire home/apt,,North End,11,5.0,4,1.0,195.0,,42.363815,-71.05278,2016-05-19 01:27:24.417320
4887325,2448751,Private room,,Back Bay,0,,1,1.0,100.0,1.0,42.352612,-71.076027,2016-05-19 01:27:16.397046
3032367,5695034,Entire home/apt,,North End,38,5.0,2,1.0,130.0,2.0,42.366327,-71.054344,2016-05-19 01:26:58.602930
11862885,10552730,Entire home/apt,,Fenway,3,5.0,2,0.0,120.0,1.0,42.341957,-71.095833,2016-05-19 01:25:32.273941
6317446,9410008,Entire home/apt,,South Boston,33,5.0,4,2.0,175.0,3.0,42.335857,-71.045895,2016-05-19 01:25:26.153780
6277566,6636693,Private room,,Allston,2,,2,1.0,95.0,3.0,42.361929,-71.130641,2016-05-19 01:25:18.936479
8171657,31040010,Entire home/apt,,Beacon Hill,13,4.5,2,1.0,96.0,3.0,42.360957,-71.069643,2016-05-19 01:25:15.983253
6913668,4190558,Entire home/apt,,Beacon Hill,22,4.0,2,1.0,145.0,1.0,42.359234,-71.071165,2016-05-19 01:24:54.320043
8335838,30283594,Entire home/apt,,Fenway,0,,5,2.0,571.0,3.0,42.344883,-71.101397,2016-05-19 01:24:26.998033
12699603,69028974,Entire home/apt,,East Boston,1,,4,2.0,225.0,2.0,42.38366,-71.000261,2016-05-19 01:23:42.718688
1755376,25188,Entire home/apt,,West End,2,,2,1.0,265.0,4.0,42.363803,-71.067767,2016-05-19 01:22:46.834009
10103725,51849764,Entire home/apt,,South Boston,3,5.0,4,2.0,250.0,1.0,42.33124,-71.041757,2016-05-19 01:22:34.363298
7463250,37096230,Shared room,,Fenway,0,,1,1.0,100.0,1.0,42.349926,-71.097876,2016-05-19 01:22:02.393295
4190704,11272292,Entire home/apt,,Beacon Hill,60,4.0,3,1.0,190.0,2.0,42.357115,-71.062881,2016-05-19 01:21:39.871831
13013196,10389396,Private room,,Roxbury,0,,2,1.0,39.0,1.0,42.335879,-71.082965,2016-05-19 01:21:29.360269
9694218,50065477,Entire home/apt,,Roxbury,25,5.0,4,1.0,85.0,2.0,42.325096,-71.09622,2016-05-19 01:20:51.167482
10592815,47858156,Entire home/apt,,South Boston Waterfront,0,,4,2.0,200.0,1.0,42.347424,-71.039208,2016-05-19 01:20:17.403052
5940928,30841304,Entire home/apt,,Allston,19,4.0,6,1.0,49.0,,42.348306,-71.137852,2016-05-19 01:19:26.218994
3897995,8139434,Private room,,Allston,70,5.0,2,1.0,65.0,1.0,42.350543,-71.143844,2016-05-19 01:18:18.469406
4080000,6331373,Private room,,East Boston,64,4.5,3,1.0,72.0,1.0,42.386619,-71.005257,2016-05-19 01:17:07.429029
447826,2053557,Private room,,Jamaica Plain,183,5.0,2,1.0,71.0,3.0,42.317134,-71.10966,2016-05-19 01:15:47.458980
8577620,1141071,Entire home/apt,,Back Bay,5,4.5,2,1.0,189.0,2.0,42.347844,-71.085609,2016-05-19 01:15:26.303108
8422253,44355774,Private room,,Fenway,10,4.0,2,1.0,55.0,2.0,42.347767,-71.0931,2016-05-19 01:15:13.614738
